Timestamp;Date;Type;Detail
02:04:19.5068352;21/12/2022;Session Status;Start;Environment: Circular;Display Mode: Plane;Dimension: 3,3,3;Browsing Mode: Local;;
02:04:26.3001789;21/12/2022;Selection;Selected;Url: file://C:/Users/Moriyarnn/Desktop/test_images/g_imagen_005.jpg;
02:04:30.0601058;21/12/2022;Element Movement;Push;;
02:06:06.6307569;21/12/2022;Element Movement;Push;;
02:06:28.8703080;21/12/2022;Element Movement;Push;;
02:06:33.0876074;21/12/2022;Element Movement;Push;;
02:06:41.1262604;21/12/2022;Element Movement;Push;;
02:06:42.6155910;21/12/2022;Element Movement;Push;;
02:06:44.4524470;21/12/2022;Element Movement;Push;;
02:06:45.9449600;21/12/2022;Element Movement;Push;;
02:06:47.3932442;21/12/2022;Element Movement;Push;;
02:06:48.8050282;21/12/2022;Element Movement;Push;;
02:06:50.2437664;21/12/2022;Element Movement;Push;;
02:06:51.6591868;21/12/2022;Element Movement;Push;;
02:06:53.1538415;21/12/2022;Element Movement;Push;;
02:06:54.5793798;21/12/2022;Element Movement;Push;;
02:06:55.9860605;21/12/2022;Element Movement;Push;;
02:06:57.4821129;21/12/2022;Element Movement;Push;;
02:06:58.8929178;21/12/2022;Element Movement;Push;;
02:07:00.3584863;21/12/2022;Element Movement;Push;;
02:07:01.7745339;21/12/2022;Element Movement;Push;;
02:07:03.2947132;21/12/2022;Element Movement;Push;;
02:07:05.1164542;21/12/2022;Element Movement;Push;;
02:07:06.5802940;21/12/2022;Element Movement;Push;;
02:07:08.0041212;21/12/2022;Element Movement;Push;;
02:07:09.4316998;21/12/2022;Element Movement;Push;;
02:07:10.8806877;21/12/2022;Element Movement;Push;;
02:07:12.5007186;21/12/2022;Element Movement;Push;;
02:07:13.8985247;21/12/2022;Element Movement;Push;;
02:07:15.5134637;21/12/2022;Element Movement;Push;;
02:07:17.0425646;21/12/2022;Element Movement;Push;;
02:07:18.4773719;21/12/2022;Element Movement;Push;;
02:07:19.9740277;21/12/2022;Element Movement;Push;;
02:07:21.3943334;21/12/2022;Element Movement;Push;;
02:07:22.8113948;21/12/2022;Element Movement;Push;;
02:07:24.2839296;21/12/2022;Element Movement;Push;;
02:07:25.7999609;21/12/2022;Element Movement;Push;;
02:07:27.2782935;21/12/2022;Element Movement;Push;;
02:07:28.7893470;21/12/2022;Element Movement;Push;;
02:07:30.2600221;21/12/2022;Element Movement;Push;;
